baujahr,stadt,Bevölkerung,DistanzNamur,DistanzMaastricht,DistanzBrüssel,DistanzLuxemburg,kaufpreis,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,Haus,Wohnung
1960,SERAING,63968,65,48,101,166,295000,150.0,3,1,3,0,1,0
1960,HANNUT,16676,36,71,64,185,249000,200.0,4,1,2,0,1,0
1961,GELBRESSÉE,583,8,80,67,156,210000,75.0,2,1,4,1,1,0
1961,LOYERS,1352,7,95,68,152,350000,230.0,5,1,3,0,1,0
1961,VISÉ,17925,78,18,95,182,365000,236.0,5,1,3,0,1,0
1962,ARLON,30047,129,156,188,33,775000,219.0,3,1,5,0,1,0
1962,COURRIÈRE,10512,14,103,76,139,299000,210.0,4,1,4,0,1,0
1962,TROIS-PONTS,2445,118,81,151,135,149000,171.0,4,1,1,0,1,0
1962,WEGNEZ,3332,95,47,126,160,230000,145.0,4,1,2,1,1,0
1962,NEUPRÉ,9993,60,47,110,167,545000,454.0,6,4,12,0,1,0
1962,GRIVEGNÉE,19606,69,34,102,164,185000,90.0,3,1,2,1,1,0
1963,HAN-SUR-LESSE,1009,54,140,112,111,198000,200.0,4,1,1,0,1,0
1963,GEER,3485,48,63,72,196,335000,280.0,4,1,8,0,1,0
1963,HEUSY,55198,94,47,125,162,320000,175.0,3,1,5,1,1,0
1963,HUY,21293,38,68,86,162,349000,165.0,3,1,3,1,1,0
1963,VAUX-SOUS-CHÈVREMONT,4571,71,39,104,163,165000,105.0,2,1,1,1,1,0
1963,CHAUDFONTAINE,21012,73,40,105,158,185000,120.0,3,1,1,1,1,0
1963,EUPEN,20026,101,54,132,149,195000,120.0,3,1,1,0,1,0
1963,ARLON,30047,129,156,188,33,650000,235.0,3,1,5,0,1,0
1964,ROCHEFORT,12609,49,101,112,114,209000,140.0,3,1,2,0,1,0
1964,GRÂCE-BERLEUR,10871,61,40,94,173,175000,158.0,3,1,2,0,1,0
1964,ANS,27322,63,35,91,173,179000,160.0,4,2,2,0,1,0
1964,FLÉRON,16380,81,33,111,164,179000,180.0,3,1,2,0,1,0
1964,GODINNE,1739,15,111,83,149,470000,300.0,5,3,6,0,1,0
1964,BURG-REULAND,3956,152,104,182,86,185000,179.0,3,2,3,0,1,0
1964,HACCOURT,3851,76,19,106,183,125000,95.0,3,1,1,1,1,0
