baujahr,stadt,Bevölkerung,DistanzSaarbrücken,DistanzThionville,DistanzMetz,DistanzLuxemburg,kaufpreis,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,Haus,Wohnung
2020,DOMMARY-BARONCOURT,764,125,45,62,56,259000,130.0,4,2,1,1,1,0
2020,TRIEUX,2521,112,29,47,44,289000,120.0,4,1,2,0,1,0
2020,CONDÉ-NORTHEN,661,51,52,21,85,279000,110.0,3,1,1,0,1,0
2020,APACH,1022,68,21,49,37,419000,120.0,4,1,2,1,1,0
2020,CREUTZWALD,13255,35,73,49,92,269000,110.0,3,1,2,1,1,0
2020,SARREGUEMINES,21236,20,102,78,117,249000,110.0,4,2,2,1,1,0
2020,SAULNY,1400,83,28,7,62,299000,110.0,4,1,1,1,1,0
2020,SAULNY,1400,83,28,7,62,299000,110.0,3,1,2,1,1,0
2020,KÉDANGE-SUR-CANNER,1085,60,16,28,51,269000,110.0,4,1,1,1,1,0
2020,BARST,586,32,84,60,118,249000,110.0,3,1,1,1,1,0
2020,SARREGUEMINES,21236,20,102,78,117,239000,110.0,3,1,1,1,1,0
2020,SARREGUEMINES,21236,20,102,78,117,269000,130.0,4,2,2,1,1,0
2020,HELLIMER,573,40,92,68,126,239000,110.0,3,1,2,1,1,0
2020,VERNÉVILLE,622,96,41,19,75,262000,105.0,4,1,1,1,1,0
2020,WOIPPY,13608,73,27,5,61,309000,110.0,4,1,1,1,1,0
2020,EBERSVILLER,921,56,25,27,60,275000,105.0,3,1,1,0,1,0
2020,HOMBOURG-HAUT,6756,24,75,51,108,239000,105.0,3,1,1,1,1,0
2020,ORNY,371,77,45,18,78,279000,105.0,4,1,1,1,1,0
2020,SAULNY,1400,83,28,7,62,329000,120.0,3,2,1,1,1,0
2020,KÉDANGE-SUR-CANNER,1085,60,16,28,51,265000,95.0,3,1,1,1,1,0
2020,AUDUN-LE-TICHE,6753,106,30,53,25,287000,70.0,2,1,2,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,322000,89.0,3,1,2,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,201000,59.0,2,1,1,0,0,1
2020,RÉDANGE,954,109,35,57,66,569900,200.0,3,2,3,1,1,0
2020,AUDUN-LE-TICHE,6753,106,30,53,25,201000,59.0,2,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,188000,57.6,1,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,223000,62.1,2,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,263000,78.55,2,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,263000,78.55,2,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,210000,62.1,2,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,247000,78.55,2,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,223000,66.05,2,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,135520,48.0,1,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,192920,68.9,2,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,185080,66.1,2,1,1,0,0,1
