kaufpreis,baujahr,Wohnung,Haus,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,stadt,Bevölkerung,Deutschland,Belgien,Luxemburg,Frankreich
325000,1951,0,1,130.0,4,2,3,0,LEUZE,13886,0,1,0,0
259000,1951,0,1,150.0,3,1,1,0,WELKENRAEDT,9163,0,1,0,0
275000,1951,0,1,89.0,2,1,1,0,BEAUFAYS,21012,0,1,0,0
190000,1951,0,1,116.0,3,1,2,0,SENSENRUTH,5477,0,1,0,0
229000,1951,0,1,130.0,3,1,4,1,SERAING,63968,0,1,0,0
189000,1951,0,1,100.0,3,1,2,1,BEYNE-HEUSAY,11711,0,1,0,0
272000,1952,0,1,220.0,5,3,1,1,ATHUS,7757,0,1,0,0
185000,1952,1,0,73.0,1,1,2,1,JAMBES,19399,0,1,0,0
185000,1952,1,0,73.0,1,1,2,1,JAMBES,19399,0,1,0,0
799000,1952,0,1,354.0,5,1,10,1,SPA,10543,0,1,0,0
165000,1953,0,1,129.0,2,1,1,0,LIÈGE,195965,0,1,0,0
195000,1953,0,1,150.0,5,2,6,0,SAINT-VITH,9169,0,1,0,0
235000,1953,0,1,246.0,5,2,2,0,ALLEUR,7294,0,1,0,0
350000,1954,0,1,242.0,4,1,1,1,MUSSON,4646,0,1,0,0
139000,1954,1,0,75.0,2,1,1,0,LIÈGE,195965,0,1,0,0
300000,1954,0,1,140.0,3,2,1,1,WAREMME,15437,0,1,0,0
485000,1954,0,1,300.0,8,1,1,0,NAMUR,110175,0,1,0,0
125000,1955,1,0,75.0,2,1,1,0,ANDENNE,27010,0,1,0,0
265000,1955,0,1,115.0,2,1,2,0,MONTEGNÉE,11705,0,1,0,0
500000,1955,0,1,215.0,3,1,7,0,AISEMONT,666,0,1,0,0
199500,1955,0,1,130.0,4,2,1,0,LIÈGE,195965,0,1,0,0
240000,1956,0,1,105.0,2,1,2,1,SPA,10543,0,1,0,0
395000,1956,1,0,153.0,2,1,2,0,LIÈGE,195965,0,1,0,0
239000,1956,0,1,252.0,5,1,2,0,WAREMME,15437,0,1,0,0
369000,1956,0,1,160.0,4,1,1,0,ARLON,30047,0,1,0,0
399000,1956,0,1,283.0,5,1,5,1,MANHAY,3767,0,1,0,0
145000,1956,0,1,166.0,3,1,1,0,PALISEUL,5393,0,1,0,0
180000,1957,0,1,123.0,3,1,1,1,LIÈGE,195965,0,1,0,0
270000,1957,0,1,90.0,2,1,1,1,ARLON,30047,0,1,0,0
165000,1957,0,1,162.0,3,1,2,1,BERTRIX,8164,0,1,0,0
165000,1957,0,1,124.0,2,1,1,1,LIÈGE,195965,0,1,0,0
950000,1957,0,1,270.0,5,2,6,0,ELSENBORN,5605,0,1,0,0
215000,1957,0,1,140.0,3,1,3,1,ROCOURT,197355,0,1,0,0
300000,1957,0,1,410.0,4,2,3,0,BASTOGNE,16377,0,1,0,0
950000,1957,0,1,420.0,6,2,6,0,HEUSY,55198,0,1,0,0
390000,1957,1,0,300.0,4,4,5,0,ANS,27322,0,1,0,0
390000,1957,1,0,300.0,4,4,5,0,LIÈGE,195965,0,1,0,0
199000,1958,0,1,108.0,3,1,5,1,AYWAILLE,12000,0,1,0,0
279000,1958,0,1,110.0,3,1,4,0,HALANZY,2809,0,1,0,0
229500,1958,0,1,120.0,3,1,2,1,AMAY,14231,0,1,0,0
189000,1958,0,1,95.0,3,1,3,0,SEILLES,4957,0,1,0,0
200000,1958,0,1,196.0,5,1,4,0,JAMOIGNE,1470,0,1,0,0
199000,1958,0,1,141.0,3,1,3,0,GRÂCE-HOLLOGNE,23574,0,1,0,0
200000,1958,0,1,150.0,4,1,3,1,WAREMME,15437,0,1,0,0
315000,1958,0,1,215.0,5,1,3,0,ANDENNE,27010,0,1,0,0
205000,1958,0,1,110.0,4,1,1,1,LIÈGE,195965,0,1,0,0
230000,1959,0,1,125.0,3,1,1,1,OUPEYE,25297,0,1,0,0
449000,1959,0,1,401.0,7,3,23,1,THEUX,12025,0,1,0,0
780000,1959,0,1,260.0,5,1,5,1,CHAUDFONTAINE,21012,0,1,0,0
240000,1959,0,1,246.0,3,2,2,0,JEMELLE,2006,0,1,0,0
220000,1959,0,1,100.0,3,1,1,1,SAINT-SERVAIS,9588,0,1,0,0
215000,1960,0,1,140.0,3,1,4,0,SERAING,63968,0,1,0,0
265000,1960,0,1,200.0,4,1,1,0,NAMUR,110175,0,1,0,0
349000,1960,0,1,177.0,4,2,4,1,WÉPION,6538,0,1,0,0
390000,1960,0,1,230.0,5,1,1,1,ARLON,30047,0,1,0,0
690000,1960,0,1,250.0,6,6,1,0,NAMUR,110175,0,1,0,0
549000,1960,0,1,306.0,5,2,4,0,NAMUR,110175,0,1,0,0
249000,1960,0,1,187.0,3,1,4,1,ISNES,25933,0,1,0,0
550000,1960,0,1,300.0,6,1,4,1,EMBOURG,8062,0,1,0,0
265000,1960,0,1,200.0,4,1,1,1,NAMUR,110175,0,1,0,0
239000,1960,0,1,126.0,2,1,4,1,AYWAILLE,12000,0,1,0,0
270000,1960,0,1,180.0,5,1,5,1,HUY,21293,0,1,0,0
396000,1960,0,1,219.0,3,1,10,0,THEUX,12025,0,1,0,0
395000,1960,0,1,183.0,4,2,6,0,ESNEUX,13049,0,1,0,0
320000,1960,0,1,205.0,3,1,2,0,ANGLEUR,10882,0,1,0,0
450000,1960,0,1,263.0,5,1,16,1,MARCHIN,5223,0,1,0,0
239000,1960,0,1,129.0,3,1,3,0,HOUTAIN-SAINT-SIMÉON,1963,0,1,0,0
229000,1960,0,1,190.0,3,1,1,0,HERSTAL,600000,0,1,0,0
295000,1960,0,1,150.0,3,1,3,0,SERAING,63968,0,1,0,0
249000,1960,0,1,200.0,4,1,2,0,HANNUT,16676,0,1,0,0
210000,1961,0,1,75.0,2,1,4,1,GELBRESSÉE,583,0,1,0,0
350000,1961,0,1,230.0,5,1,3,0,LOYERS,1352,0,1,0,0
365000,1961,0,1,236.0,5,1,3,0,VISÉ,17925,0,1,0,0
775000,1962,0,1,219.0,3,1,5,0,ARLON,30047,0,1,0,0
299000,1962,0,1,210.0,4,1,4,0,COURRIÈRE,10512,0,1,0,0
149000,1962,0,1,171.0,4,1,1,0,TROIS-PONTS,2445,0,1,0,0
230000,1962,0,1,145.0,4,1,2,1,WEGNEZ,3332,0,1,0,0
545000,1962,0,1,454.0,6,4,12,0,NEUPRÉ,9993,0,1,0,0
185000,1962,0,1,90.0,3,1,2,1,GRIVEGNÉE,19606,0,1,0,0
198000,1963,0,1,200.0,4,1,1,0,HAN-SUR-LESSE,1009,0,1,0,0
335000,1963,0,1,280.0,4,1,8,0,GEER,3485,0,1,0,0
320000,1963,0,1,175.0,3,1,5,1,HEUSY,55198,0,1,0,0
349000,1963,0,1,165.0,3,1,3,1,HUY,21293,0,1,0,0
165000,1963,0,1,105.0,2,1,1,1,VAUX-SOUS-CHÈVREMONT,4571,0,1,0,0
185000,1963,0,1,120.0,3,1,1,1,CHAUDFONTAINE,21012,0,1,0,0
195000,1963,0,1,120.0,3,1,1,0,EUPEN,20026,0,1,0,0
650000,1963,0,1,235.0,3,1,5,0,ARLON,30047,0,1,0,0
209000,1964,0,1,140.0,3,1,2,0,ROCHEFORT,12609,0,1,0,0
175000,1964,0,1,158.0,3,1,2,0,GRÂCE-BERLEUR,10871,0,1,0,0
179000,1964,0,1,160.0,4,2,2,0,ANS,27322,0,1,0,0
179000,1964,0,1,180.0,3,1,2,0,FLÉRON,16380,0,1,0,0
470000,1964,0,1,300.0,5,3,6,0,GODINNE,1739,0,1,0,0
185000,1964,0,1,179.0,3,2,3,0,BURG-REULAND,3956,0,1,0,0
125000,1964,0,1,95.0,3,1,1,1,HACCOURT,3851,0,1,0,0
240000,1964,0,1,100.0,2,1,2,1,HERSTAL,600000,0,1,0,0
340000,1964,0,1,428.0,4,1,7,1,ANS,27322,0,1,0,0
