kaufpreis,baujahr,Wohnung,Haus,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,stadt,Bevölkerung,Deutschland,Belgien,Luxemburg,Frankreich
310000,2020,0,1,124.0,4,1,1,1,THIONVILLE,40665,0,0,0,1
254000,2020,0,1,119.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
397000,2020,0,1,101.77,3,1,2,0,THIONVILLE,40665,0,0,0,1
420000,2020,0,1,97.91,3,1,1,1,THIONVILLE,40665,0,0,0,1
392000,2020,0,1,97.64,3,1,1,1,THIONVILLE,40665,0,0,0,1
350000,2020,0,1,93.14,3,1,1,1,THIONVILLE,40665,0,0,0,1
230000,2020,1,0,68.15,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
247000,2020,1,0,78.55,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
185080,2020,1,0,66.0,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
310000,2020,0,1,124.0,4,1,1,1,SIERCK-LES-BAINS,1712,0,0,0,1
300000,2020,0,1,115.0,4,1,1,1,CONTZ-LES-BAINS,497,0,0,0,1
300000,2020,0,1,115.0,4,1,1,1,MONDORFF,555,0,0,0,1
280000,2020,0,1,134.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
254000,2020,0,1,119.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
310000,2020,0,1,124.0,4,1,1,1,THIONVILLE,40665,0,0,0,1
300000,2020,0,1,115.0,4,1,1,1,THIONVILLE,40665,0,0,0,1
254000,2020,0,1,119.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
225000,2020,0,1,100.0,3,1,1,1,ARS-SUR-MOSELLE,4720,0,0,0,1
225000,2020,0,1,100.0,3,1,1,1,METZ,117492,0,0,0,1
215000,2020,0,1,90.0,3,1,1,1,METZ,117492,0,0,0,1
215000,2020,0,1,90.0,3,1,1,1,ARS-SUR-MOSELLE,4720,0,0,0,1
460000,2020,0,1,140.0,3,1,3,1,COSNES-ET-ROMAIN,2652,0,0,0,1
254000,2020,0,1,119.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
179000,2020,0,1,96.0,3,1,1,1,SAINT-AVOLD,15748,0,0,0,1
300000,2020,0,1,115.0,4,1,1,1,THIONVILLE,40665,0,0,0,1
280000,2020,0,1,134.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
300000,2020,0,1,115.0,4,1,1,1,THIONVILLE,40665,0,0,0,1
280000,2020,0,1,134.0,3,2,1,1,SIERCK-LES-BAINS,1712,0,0,0,1
280000,2020,0,1,134.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
254000,2020,0,1,119.0,3,2,1,1,SIERCK-LES-BAINS,1712,0,0,0,1
389000,2020,0,1,112.46,3,1,4,1,THIONVILLE,40665,0,0,0,1
379000,2020,0,1,118.54,3,1,1,1,THIONVILLE,40665,0,0,0,1
379000,2020,0,1,118.54,3,1,1,1,THIONVILLE,40665,0,0,0,1
379000,2020,0,1,118.54,3,1,1,1,THIONVILLE,40665,0,0,0,1
435000,2020,0,1,137.49,3,1,2,1,THIONVILLE,40665,0,0,0,1
309000,2020,1,0,97.01,3,1,1,0,MANOM,2641,0,0,0,1
247000,2020,1,0,73.13,2,1,1,0,MANOM,2641,0,0,0,1
244000,2020,1,0,73.13,2,1,1,0,MANOM,2641,0,0,0,1
254000,2020,0,1,119.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
