kaufpreis,baujahr,Wohnung,Haus,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,stadt,Bevölkerung,Deutschland,Belgien,Luxemburg,Frankreich
675000,1965,0,1,130.0,3,1,1,1,BASCHARAGE,6590,0,0,1,0
639000,1965,1,0,92.72,3,1,2,0,BERT,8400,0,0,1,0
570000,1966,1,0,95.0,3,1,2,0,ESCH-SUR-ALZETTE,34780,0,0,1,0
1649000,1966,0,1,144.0,3,1,2,0,HOWALD,4760,0,0,1,0
835000,1966,1,0,103.37,3,1,1,0,HOWALD,4760,0,0,1,0
1060000,1966,0,1,160.0,3,2,1,1,LAMADELAINE,2335,0,0,1,0
1750000,1967,0,1,180.0,3,1,5,1,KAYL,8982,0,0,1,0
1650000,1967,0,1,31.35,5,2,1,1,TROISVIERGES,3005,0,0,1,0
1225000,1967,0,1,165.0,5,2,3,1,LORENTZWEILER,2973,0,0,1,0
1750000,1967,0,1,180.0,3,1,5,1,KAYL,8982,0,0,1,0
1650000,1967,0,1,31.35,6,2,7,1,TROISVIERGES,3005,0,0,1,0
990000,1968,0,1,120.0,2,1,2,0,GILSDORF,864,0,0,1,0
939000,1968,0,1,161.0,5,1,3,0,PÉTANGE,18200,0,0,1,0
890000,1968,1,0,80.0,2,1,1,0,HOWALD,4760,0,0,1,0
3850000,1969,0,1,515.0,6,1,1,1,BERT,8400,0,0,1,0
885000,1969,1,0,90.0,2,1,1,0,LUXEMBOURG-B,3746,0,0,1,0
730000,1970,0,1,222.0,3,1,2,1,GILSDORF,864,0,0,1,0
1140000,1970,1,0,115.0,3,2,1,0,LUXEMBOURG-KIRC,6238,0,0,1,0
1059300,1970,1,0,150.0,2,1,2,0,LUXEMBOURG-BONNEVOIE,12734,0,0,1,0
649000,1970,1,0,92.0,3,1,3,0,PÉTANGE,18200,0,0,1,0
2300000,1970,1,0,171.0,5,1,2,0,LUXEMBOURG,114303,0,0,1,0
1350000,1970,1,0,87.0,2,1,1,0,LUXEMBOURG,114303,0,0,1,0
1150000,1970,1,0,95.0,2,1,1,0,LUXEMBOURG-LIMPERT,10900,0,0,1,0
615000,1970,1,0,103.0,2,1,1,0,ESCH-SUR-ALZETTE,34780,0,0,1,0
925000,1970,0,1,130.0,4,1,2,1,NOERTZANGE,1041,0,0,1,0
1350000,1970,1,0,88.0,2,1,1,0,LUXEMBOURG-GARE,11000,0,0,1,0
475000,1970,0,1,102.0,3,1,4,0,RODERSHAUSEN,125,0,0,1,0
530000,1970,1,0,110.0,2,1,1,0,PÉTANGE,18200,0,0,1,0
1249000,1970,1,0,105.0,3,2,1,0,LUXEMBOURG-CENTRE,122273,0,0,1,0
1249000,1970,1,0,105.0,3,2,1,0,LUXEMBOURG-LIMPERT,10900,0,0,1,0
1195000,1970,0,1,126.0,2,1,1,1,LUXEMBOURG-CENTS,6325,0,0,1,0
575000,1971,1,0,103.0,2,1,1,0,CLEMENCY,2105,0,0,1,0
599000,1971,1,0,112.73,3,1,2,0,ETTELBRÜCK,8833,0,0,1,0
2200000,1971,0,1,333.0,5,3,2,1,HESPERANGE,15000,0,0,1,0
2200000,1971,0,1,330.0,5,3,3,1,HESPERANGE,15000,0,0,1,0
630000,1971,1,0,55.0,1,1,1,0,LUXEMBOURG-MERL,6264,0,0,1,0
1550000,1972,1,0,119.0,2,1,1,0,LUXEMBOURG-LIMPERT,10900,0,0,1,0
1150000,1972,0,1,160.0,3,1,1,1,LUXEMBOURG-CENTS,6325,0,0,1,0
575000,1973,1,0,88.85,2,1,1,1,HAUTCHARAGE,1630,0,0,1,0
699000,1973,1,0,110.0,3,1,1,0,BASCHARAGE,6590,0,0,1,0
575000,1973,1,0,88.85,2,1,1,1,BASCHARAGE,6590,0,0,1,0
1450000,1973,0,1,190.0,5,2,3,1,BERT,8400,0,0,1,0
1448000,1973,0,1,250.0,3,1,2,0,GONDERANGE,1735,0,0,1,0
1450000,1973,0,1,165.0,3,2,1,0,BIWER,1817,0,0,1,0
1450000,1973,0,1,222.0,3,2,3,1,MERSCH,9195,0,0,1,0
1540000,1973,0,1,153.0,3,2,2,1,HESPERANGE,15000,0,0,1,0
1450000,1973,0,1,226.0,5,2,2,0,HOWALD,4760,0,0,1,0
3100000,1974,0,1,252.0,5,4,2,1,LUXEMBOURG-LIMPERT,10900,0,0,1,0
2195000,1974,0,1,229.0,4,3,5,1,SENNINGEN,623,0,0,1,0
650000,1974,1,0,62.0,1,1,1,0,WALFERDANGE,6400,0,0,1,0
3150000,1974,0,1,252.0,5,4,1,1,LUXEMBOURG-LIMPERT,10900,0,0,1,0
995000,1974,0,1,160.0,3,1,3,1,ETTELBRÜCK,8833,0,0,1,0
1790000,1974,1,0,238.0,6,3,1,0,LUXEMBOURG-B,3746,0,0,1,0
3150000,1974,0,1,252.0,5,2,2,1,LUXEMBOURG-LIMPERT,10900,0,0,1,0
1850000,1974,0,1,230.0,5,1,4,1,BRIDEL,2850,0,0,1,0
1195000,1974,1,0,97.1,2,1,1,0,LUXEMBOURG-B,3746,0,0,1,0
860000,1974,1,0,101.0,3,1,2,1,BRIDEL,2850,0,0,1,0
850000,1974,1,0,85.0,1,1,1,0,LUXEMBOURG-CENTRE,122273,0,0,1,0
845000,1975,1,0,100.0,3,1,1,0,SENNINGE,623,0,0,1,0
890000,1975,1,0,100.0,2,1,1,0,BEREL,3570,0,0,1,0
651000,1975,1,0,105.0,3,1,1,0,MONDERCANGE,7007,0,0,1,0
1100000,1975,1,0,112.2,3,2,1,0,LUXEMBOURG-DOMMELDANGE,2671,0,0,1,0
849500,1975,1,0,85.0,2,1,1,0,STRASSEN,5900,0,0,1,0
651000,1975,1,0,105.0,3,1,2,0,MONDERCANGE,7007,0,0,1,0
599000,1975,1,0,83.0,2,1,2,0,OBE,374,0,0,1,0
1499000,1975,0,1,192.0,3,2,2,1,BEREL,3570,0,0,1,0
820000,1975,1,0,123.0,3,1,1,0,BETTEM,10700,0,0,1,0
615000,1975,1,0,83.0,2,1,1,0,ESCH-SUR-ALZETTE,34780,0,0,1,0
1150000,1975,1,0,125.0,2,1,1,0,SENNINGE,623,0,0,1,0
960000,1975,0,1,120.0,4,1,2,0,STEINSEL,4400,0,0,1,0
651000,1975,1,0,105.0,3,1,2,0,MONDERCANGE,7007,0,0,1,0
415000,1975,1,0,88.0,2,2,1,0,ETTELBRÜCK,8833,0,0,1,0
755000,1975,0,1,190.0,5,2,1,0,DIFFERDANGE,25400,0,0,1,0
855000,1975,1,0,96.0,2,1,2,0,STRASSEN,5900,0,0,1,0
499000,1975,1,0,60.0,2,1,1,1,BERT,8400,0,0,1,0
1495000,1976,1,0,147.0,3,2,1,0,LUXEMBOURG-CENTRE,122273,0,0,1,0
867500,1976,1,0,98.52,1,1,1,0,BERT,8400,0,0,1,0
1495000,1976,1,0,147.0,3,2,1,0,LUXEMBOURG-KIRC,6238,0,0,1,0
1600000,1976,0,1,193.0,4,2,4,0,ECHTERNACH,4610,0,0,1,0
2250000,1976,0,1,220.0,5,2,1,0,BEREL,3570,0,0,1,0
1190000,1977,0,1,230.0,5,3,6,1,WARKEN,1670,0,0,1,0
530000,1978,1,0,82.0,2,1,1,0,ALTWIES,557,0,0,1,0
728000,1978,0,1,200.0,4,1,3,0,BEA,13357,0,0,1,0
850000,1979,0,1,236.0,5,2,5,0,CLERVAUX,1791,0,0,1,0
850000,1979,0,1,236.0,5,2,5,0,DOENNANGE,132,0,0,1,0
1564000,1979,0,1,200.0,4,2,3,1,BEREL,3570,0,0,1,0
1100000,1979,0,1,140.0,4,1,2,1,HEISDORF,1553,0,0,1,0
765000,1979,1,0,100.0,2,1,1,1,BETTEM,10700,0,0,1,0
899000,1979,0,1,130.0,3,1,3,1,ETTELBRÜCK,8833,0,0,1,0
930000,1980,1,0,103.0,3,1,2,0,BRIDEL,2850,0,0,1,0
847000,1980,1,0,136.0,3,1,1,0,LAMADELAINE,2335,0,0,1,0
1491000,1980,0,1,300.62,6,3,3,0,DUDELANGE,20400,0,0,1,0
795000,1980,0,1,130.0,3,1,1,1,PÉTANGE,18200,0,0,1,0
1450000,1980,0,1,265.0,5,3,2,1,BETTEM,10700,0,0,1,0
651000,1980,1,0,106.0,3,1,2,0,MONDERCANGE,7007,0,0,1,0
1590000,1980,0,1,190.0,5,2,2,1,BERT,8400,0,0,1,0
2690000,1980,0,1,363.0,4,3,1,1,STEINSEL,4400,0,0,1,0
1359000,1980,0,1,180.0,4,1,2,1,BERT,8400,0,0,1,0
810000,1980,0,1,210.0,4,1,2,0,LAMADELAINE,2335,0,0,1,0
1359000,1980,0,1,180.0,4,1,2,1,BERT,8400,0,0,1,0
1359000,1980,0,1,180.0,4,1,2,1,BERT,8400,0,0,1,0
1800000,1980,1,0,250.0,4,3,2,0,LUXEMBOURG-DOMMELDANGE,2671,0,0,1,0
2209000,1980,0,1,250.0,6,4,2,1,SENNINGE,623,0,0,1,0
1290000,1982,0,1,165.0,4,1,4,1,GONDERANGE,1735,0,0,1,0
1290000,1982,0,1,165.0,4,1,6,1,GONDERANGE,1735,0,0,1,0
710000,1982,1,0,108.0,3,1,2,0,BASCHARAGE,6590,0,0,1,0
1600000,1982,0,1,400.0,3,1,5,1,EHLANGE,405,0,0,1,0
1190000,1982,1,0,140.0,3,3,1,1,BEREL,3570,0,0,1,0
1350000,1983,0,1,220.0,5,1,3,1,LINGER,607,0,0,1,0
559000,1983,0,1,210.0,4,1,1,0,ESCHWEILER,195,0,0,1,0
1960000,1983,0,1,351.0,5,2,6,1,BE,13357,0,0,1,0
1190000,1983,0,1,350.0,3,2,4,1,SOLEUVRE,5471,0,0,1,0
1290000,1983,0,1,238.0,5,1,2,0,CONTERN,4000,0,0,1,0
1150000,1983,0,1,167.0,3,2,8,1,TUNTANGE,1720,0,0,1,0
1170000,1984,1,0,81.0,2,1,1,0,LUXEMBOURG-LIMPERT,10900,0,0,1,0
1595000,1984,0,1,206.0,4,2,1,1,LUXEMBOURG-WEIMERSKIRCH,2462,0,0,1,0
496000,1984,1,0,83.0,2,1,1,0,DIEKIRCH,7000,0,0,1,0
2770000,1984,0,1,290.0,5,3,3,1,LUXEMBOURG-MERL,6264,0,0,1,0
641000,1985,1,0,105.0,3,1,1,0,MONDERCANGE,7007,0,0,1,0
1290000,1985,0,1,162.0,3,2,2,1,MENSDORF,956,0,0,1,0
1250000,1985,1,0,151.0,4,2,1,0,LUXEMBOURG-NEUDORF,6400,0,0,1,0
1050000,1985,0,1,120.0,3,1,4,1,EVERLANGE,526,0,0,1,0
1040000,1986,0,1,271.0,5,3,4,0,BER,13000,0,0,1,0
895000,1986,1,0,121.34,4,2,1,1,HESPERANGE,15000,0,0,1,0
435000,1986,1,0,50.0,1,1,1,0,DUDELANGE,20400,0,0,1,0
651000,1986,1,0,105.0,3,1,1,0,PONTPIERRE,1000,0,0,1,0
651000,1986,1,0,105.0,3,1,1,0,FOETZ,518,0,0,1,0
651000,1986,1,0,105.0,3,1,1,0,MONDERCANGE,7007,0,0,1,0
1390000,1987,0,1,145.0,3,1,1,1,STRASSEN,5900,0,0,1,0
1350000,1988,0,1,179.0,5,1,5,1,SCHUTTRANGE,3258,0,0,1,0
1027000,1988,1,0,105.0,2,1,1,0,LUXEMBOURG-LIMPERT,10900,0,0,1,0
645000,1988,1,0,90.0,2,1,2,0,DUDELANGE,20400,0,0,1,0
1800000,1988,0,1,230.0,5,2,5,1,CAPELLEN,1336,0,0,1,0
620000,1988,1,0,93.0,2,1,2,1,DUDELANGE,20400,0,0,1,0
